State,coef,intercept
State,0.99999999999997757,4.6175288743319591e-11
AL,28948.525474188562,-53490494.285423867
AK,9837.2094597835658,-19049238.230779592
AZ,109013.45992796672,-212998438.00676146
AR,21400.342857142085,-40163164.491426967
CA,436284.61531811062,-839272973.1600616
CO,65896.13315726041,-127582400.80321212
CT,13231.941944777553,-23067517.41719012
DE,8159.3106362541857,-15542225.480191423
DC,-11754.358367345883,24194556.753467251
FL,290223.43755100918,-564769709.63018084
GA,124175.44307322381,-240316489.63110515
HI,13560.368931572195,-25903074.280431267
ID,18745.973229290972,-36200558.336445041
IL,42993.14833133114,-73720771.176851839
IN,29707.152124849003,-53383130.700262152
IA,3893.6916686674153,-4863438.7031451454
KS,14391.915486193893,-26119661.544296514
KY,24079.680192076048,-44132473.981943145
LA,20023.180840335735,-35619208.441007547
ME,7678.8487875147348,-14088884.133973025
MD,46126.354861943175,-86998086.802973852
MA,22200.182809122871,-38122562.415940762
MI,30743.543817526417,-51727315.361151196
MN,36886.667899158303,-68926053.217476174
MS,16347.32845137993,-29899142.165568933
MO,30991.935606241408,-56432050.813010946
MT,6157.8909963983078,-11416141.286338015
NE,7338.7233613442504,-12972858.004033018
NV,51265.037791114162,-100599431.20763035
NH,14531.654837934682,-27854355.685233071
NJ,41553.520384152325,-74805151.163886771
NM,23834.451332532051,-45887008.294739917
NY,34652.453253299856,-50576171.554186672
NC,99438.530372144756,-190896913.26500955
ND,503.84388955578561,-354779.2343816784
OH,23987.59414165614,-36712941.830683149
OK,25966.792797118058,-48481902.917069174
OR,41076.924225688774,-78791214.082781985
PA,18644.419591836118,-25037030.798366062
RI,3232.1915006001595,-5435856.6389434058
SC,44990.468427369233,-85977642.247823581
SD,3012.9246098437716,-5271237.1666743299
TN,54303.673997596954,-102997882.04422137
TX,321166.12912363675,-621438343.26235068
UT,38527.832509002044,-74824408.664150447
VT,4636.3779111643425,-8677147.1963502802
VA,78957.946794714822,-150880442.08129019
WA,81824.728979588806,-157860540.55591208
WV,162.96273709490433,1509893.8172867824
WI,30402.147130851299,-55501211.129697718
WY,4457.1443937573658,-8407409.1069865078
